genre,color,font_size,left,top
swedish tropical house,"rgb(180, 141, 79)",102%,865px,2482px
scottish singer-songwriter,"rgb(115, 147, 22)",102%,619px,13442px
thai indie pop,"rgb(159, 138, 20)",102%,660px,6565px
indie viet,"rgb(70, 165, 87)",102%,932px,14561px
turkish deep house,"rgb(179, 145, 83)",102%,1035px,2107px
iskelma,"rgb(150, 138, 4)",102%,674px,9426px
austindie,"rgb(162, 129, 53)",102%,494px,9142px
chill abstract hip hop,"rgb(155, 127, 22)",102%,833px,11622px
hardcore techno,"rgb(224, 100, 99)",102%,704px,1837px
bassline,"rgb(208, 121, 94)",102%,1181px,1966px
instrumental funk,"rgb(156, 130, 134)",102%,966px,11820px
manele,"rgb(192, 136, 6)",102%,1136px,4432px
velha guarda,"rgb(106, 146, 27)",102%,752px,16800px
german underground rap,"rgb(164, 141, 17)",102%,1121px,8300px
carnaval,"rgb(210, 117, 6)",102%,824px,3247px
vallenato moderno,"rgb(188, 129, 6)",102%,1127px,10332px
lovers rock,"rgb(141, 147, 10)",102%,1177px,6310px
tamaulipas rap,"rgb(155, 141, 5)",102%,1181px,6057px
hopebeat,"rgb(171, 136, 12)",102%,500px,4649px
musica tlaxcalteca,"rgb(159, 148, 14)",102%,942px,8225px
livetronica,"rgb(172, 141, 133)",102%,856px,3472px
retro soul,"rgb(159, 131, 22)",102%,829px,9600px
p funk,"rgb(168, 111, 35)",102%,1017px,7750px
romanian trap,"rgb(166, 148, 12)",102%,1077px,5545px
classic city pop,"rgb(158, 132, 25)",102%,737px,7885px
organic electronic,"rgb(160, 152, 183)",102%,1242px,1794px
forro de favela,"rgb(177, 148, 0)",102%,946px,8449px
stomp pop,"rgb(171, 125, 32)",102%,451px,7430px
danish rock,"rgb(190, 121, 28)",102%,354px,5798px
rock gaucho,"rgb(178, 124, 18)",102%,567px,8036px
french soundtrack,"rgb(62, 159, 168)",102%,354px,17276px
german house,"rgb(169, 146, 155)",102%,1235px,1284px
australian alternative rock,"rgb(177, 119, 34)",102%,409px,9923px
anime rap,"rgb(166, 139, 13)",102%,1023px,5875px
j-metal,"rgb(224, 87, 46)",102%,232px,5587px
antiviral pop,"rgb(168, 128, 46)",102%,854px,6247px
fantasy metal,"rgb(208, 98, 44)",102%,175px,5625px
christian pop,"rgb(156, 143, 14)",102%,550px,6414px
chicago punk,"rgb(219, 87, 36)",102%,321px,7544px
melodic thrash,"rgb(232, 76, 61)",102%,232px,7404px
fotbollslatar,"rgb(165, 128, 12)",102%,787px,8622px
chicha,"rgb(174, 141, 33)",102%,969px,10991px
asian american hip hop,"rgb(165, 139, 8)",102%,1040px,5957px
traphall,"rgb(183, 143, 3)",102%,1101px,11992px
future bass,"rgb(169, 137, 80)",102%,761px,6284px
classic girl group,"rgb(142, 126, 5)",102%,704px,13380px
batidao romantico,"rgb(169, 151, 2)",102%,1195px,5329px
palm desert scene,"rgb(185, 110, 80)",102%,357px,11263px
uk reggae,"rgb(152, 143, 28)",102%,1168px,4055px
breakbeat,"rgb(212, 119, 124)",102%,966px,1564px
australian metalcore,"rgb(231, 81, 36)",102%,197px,4592px
electro-pop francais,"rgb(148, 149, 53)",102%,875px,5522px
grave wave,"rgb(172, 129, 128)",102%,487px,4678px
french reggae,"rgb(174, 134, 11)",102%,1050px,8536px
nederpop,"rgb(133, 135, 20)",102%,622px,12872px
rhode island rap,"rgb(151, 139, 8)",102%,1002px,10726px
drill italiana,"rgb(160, 148, 4)",102%,1021px,8763px
british indie rock,"rgb(191, 116, 22)",102%,395px,6586px
newcastle nsw indie,"rgb(172, 123, 42)",102%,420px,8919px
israeli mediterranean,"rgb(168, 139, 7)",102%,647px,8218px
dark clubbing,"rgb(195, 134, 159)",102%,763px,2195px
morelos indie,"rgb(164, 139, 65)",102%,494px,6708px
turkish trap pop,"rgb(154, 148, 13)",102%,948px,6866px
discofox,"rgb(230, 107, 4)",102%,831px,1835px
swedish melodeath,"rgb(233, 71, 91)",102%,159px,5798px
deep german hip hop,"rgb(177, 134, 28)",102%,973px,9337px
perreo,"rgb(194, 135, 8)",102%,1294px,2612px
bases de freestyle,"rgb(157, 139, 87)",102%,1207px,8189px
spanish metal,"rgb(215, 97, 30)",102%,284px,6032px
belgian dance,"rgb(204, 125, 125)",102%,989px,1333px
indonesian worship,"rgb(128, 149, 24)",102%,500px,12140px
vegas indie,"rgb(172, 118, 58)",102%,455px,6279px
bubble trance,"rgb(210, 121, 131)",102%,967px,1177px
cosmic american,"rgb(125, 133, 48)",102%,651px,14482px
scenecore,"rgb(188, 134, 28)",102%,455px,4448px
hamburg electronic,"rgb(187, 134, 155)",102%,1166px,1248px
lebanese pop,"rgb(161, 129, 11)",102%,724px,10465px
garage rock revival,"rgb(200, 103, 33)",102%,356px,8610px
liquid funk,"rgb(214, 139, 163)",102%,1031px,1506px
electropowerpop,"rgb(199, 115, 14)",102%,557px,3013px
rap geek,"rgb(176, 139, 1)",102%,835px,7774px
solo wave,"rgb(143, 136, 40)",102%,507px,9798px
happy hardcore,"rgb(225, 111, 88)",102%,747px,1607px
black metal,"rgb(219, 60, 128)",102%,85px,10219px
aussie drill,"rgb(164, 141, 3)",102%,1214px,6525px
harlem renaissance,"rgb(71, 139, 77)",102%,973px,19945px
folk punk,"rgb(155, 127, 14)",102%,574px,12724px
abstract hip hop,"rgb(175, 120, 48)",102%,904px,7713px
russian romanticism,"rgb(35, 156, 180)",102%,336px,21495px
psychedelic soul,"rgb(157, 119, 50)",102%,820px,10867px
lo-fi vgm,"rgb(117, 155, 186)",102%,936px,7367px
finnish metal,"rgb(209, 103, 73)",102%,184px,4936px
dark synthpop,"rgb(189, 131, 108)",102%,555px,2138px
trap colombiano,"rgb(166, 141, 6)",102%,1101px,6133px
comedy rock,"rgb(88, 147, 3)",102%,1170px,15239px
norwegian pop rap,"rgb(150, 148, 9)",102%,1019px,6685px
pop folk,"rgb(89, 161, 31)",102%,545px,14445px
nintendocore,"rgb(207, 99, 69)",102%,319px,6537px
ukrainian rock,"rgb(167, 132, 26)",102%,701px,6203px
egyptian hip hop,"rgb(148, 143, 17)",102%,995px,9513px
j-pop girl group,"rgb(222, 108, 45)",102%,470px,2339px
lata,"rgb(111, 141, 45)",102%,613px,18998px
violao,"rgb(84, 157, 96)",102%,900px,17661px
moroccan pop,"rgb(185, 125, 12)",102%,856px,7975px
argentine alternative rock,"rgb(170, 130, 30)",102%,500px,6488px
eau claire indie,"rgb(121, 143, 61)",102%,459px,13540px
german reggae,"rgb(169, 134, 14)",102%,1092px,6385px
bronx hip hop,"rgb(180, 112, 20)",102%,1161px,6093px
rock brasiliense,"rgb(201, 105, 22)",102%,418px,7739px
zhenskiy rep,"rgb(163, 150, 17)",102%,1023px,4240px
finnish power metal,"rgb(211, 105, 34)",102%,212px,4432px
indie electropop,"rgb(142, 148, 23)",102%,722px,7233px
manchester hip hop,"rgb(161, 136, 13)",102%,1068px,11362px
australian children's music,"rgb(119, 142, 13)",102%,1068px,13118px
salsa venezolana,"rgb(182, 133, 6)",102%,1098px,12888px
pop virale italiano,"rgb(166, 145, 3)",102%,914px,8399px
singaporean mandopop,"rgb(123, 151, 6)",102%,589px,12030px
turkish psych,"rgb(141, 133, 35)",102%,660px,13801px
qawwali,"rgb(168, 119, 11)",102%,805px,13417px
reggae en espanol,"rgb(170, 140, 8)",102%,1110px,5234px
indonesian lo-fi pop,"rgb(91, 162, 17)",102%,724px,14321px
ottawa rap,"rgb(149, 147, 13)",102%,1068px,6966px
sandalwood,"rgb(162, 130, 10)",102%,934px,9687px
german punk,"rgb(217, 89, 17)",102%,389px,8194px
virginia hip hop,"rgb(165, 125, 15)",102%,1085px,8611px
afghan pop,"rgb(182, 124, 20)",102%,805px,11784px
trap venezolano,"rgb(165, 143, 4)",102%,1121px,8923px
italian baroque,"rgb(41, 166, 93)",102%,403px,19888px
k-indie,"rgb(129, 149, 45)",102%,709px,10428px
boom bap brasileiro,"rgb(168, 128, 18)",102%,1085px,10417px
hard bop,"rgb(93, 145, 79)",102%,848px,18403px
noise rock,"rgb(191, 86, 118)",102%,267px,11176px
rap algerien,"rgb(162, 138, 2)",102%,1077px,9986px
dansband,"rgb(175, 132, 10)",102%,569px,6733px
rock kapak,"rgb(164, 132, 26)",102%,577px,7481px
swedish indie rock,"rgb(177, 123, 46)",102%,373px,8622px
experimental r&b,"rgb(134, 145, 52)",102%,747px,9898px
organic house,"rgb(169, 152, 197)",102%,1335px,701px
veracruz indie,"rgb(146, 141, 27)",102%,724px,10108px
nightcore,"rgb(177, 134, 38)",102%,782px,5137px
rave funk,"rgb(179, 128, 12)",102%,1340px,6801px
jawaiian,"rgb(146, 146, 10)",102%,1064px,6095px
bubblegum dance,"rgb(215, 120, 27)",102%,918px,1550px
swedish death metal,"rgb(230, 69, 118)",102%,145px,8316px
uptempo hardcore,"rgb(241, 87, 54)",102%,536px,2640px
stomp and flutter,"rgb(90, 157, 38)",102%,553px,14592px
bboy,"rgb(186, 125, 92)",102%,1090px,3214px
polish alternative rap,"rgb(175, 129, 10)",102%,1016px,10060px
cumbia santafesina,"rgb(183, 135, 3)",102%,900px,10905px
amapiano,"rgb(154, 159, 102)",102%,1357px,1019px
israeli rock,"rgb(134, 143, 16)",102%,595px,11957px
sky room,"rgb(219, 121, 84)",102%,709px,2109px
neoperreo,"rgb(177, 145, 22)",102%,1090px,4616px
cumbia sonorense,"rgb(165, 137, 9)",102%,1072px,12514px
cumbia del sureste,"rgb(170, 141, 14)",102%,1123px,6829px
pet calming,"rgb(47, 159, 205)",102%,442px,18854px
modern reggae,"rgb(164, 142, 5)",102%,1101px,10843px
aggressive phonk,"rgb(204, 129, 128)",102%,888px,2525px
bandung indie,"rgb(180, 122, 20)",102%,413px,7121px
egyptian trap,"rgb(145, 147, 24)",102%,1006px,10831px
thai rock,"rgb(165, 134, 14)",102%,595px,5613px
ghanaian pop,"rgb(173, 141, 9)",102%,1114px,8201px
progressive metalcore,"rgb(229, 88, 62)",102%,192px,4075px
classic uk pop,"rgb(134, 132, 10)",102%,717px,12253px
icelandic indie,"rgb(116, 148, 65)",102%,527px,12649px
reggaeton cristiano,"rgb(186, 139, 4)",102%,1019px,5746px
oc rap,"rgb(146, 147, 4)",102%,1035px,7986px
italian alternative,"rgb(161, 132, 36)",102%,569px,9340px
australian house,"rgb(199, 129, 109)",102%,1193px,1174px
jovem guarda,"rgb(139, 142, 14)",102%,668px,11981px
danish metal,"rgb(225, 83, 79)",102%,183px,6364px
thai hip hop,"rgb(163, 135, 16)",102%,1051px,6916px
musica tradicional cubana,"rgb(128, 135, 29)",102%,1002px,16616px
german power metal,"rgb(221, 85, 27)",102%,201px,5202px
british alternative rock,"rgb(195, 110, 24)",102%,315px,6155px
indian folk,"rgb(159, 133, 19)",102%,756px,9487px
lo-fi emo,"rgb(149, 125, 75)",102%,393px,11522px
oakland indie,"rgb(161, 129, 65)",102%,470px,9662px
anti-folk,"rgb(126, 139, 25)",102%,773px,13180px
nerdcore brasileiro,"rgb(188, 126, 3)",102%,631px,7147px
canzone napoletana,"rgb(101, 150, 16)",102%,525px,17075px
kizomba,"rgb(177, 145, 22)",102%,1021px,3272px
upstate ny rap,"rgb(161, 136, 7)",102%,987px,10369px
kirtan,"rgb(96, 157, 61)",102%,498px,13553px
canadian electropop,"rgb(165, 141, 55)",102%,749px,4104px
uk dnb,"rgb(219, 130, 140)",102%,1063px,1658px
polish drill,"rgb(160, 146, 5)",102%,1077px,7478px
acoustic opm,"rgb(106, 161, 6)",102%,660px,14134px
polish classical,"rgb(27, 166, 219)",102%,422px,21839px
thai indie rock,"rgb(160, 134, 37)",102%,584px,6647px
detroit trap brasileiro,"rgb(138, 157, 7)",102%,1109px,5759px
welsh rock,"rgb(182, 118, 26)",102%,381px,7009px
cumbia ranchera,"rgb(184, 133, 2)",102%,958px,5801px
japanese punk rock,"rgb(225, 85, 18)",102%,294px,6474px
indie punk,"rgb(195, 103, 60)",102%,281px,9080px
french shoegaze,"rgb(155, 136, 131)",102%,186px,8057px
binaural,"rgb(61, 75, 205)",102%,88px,17850px
barnsagor,"rgb(78, 114, 2)",102%,1304px,16616px
deep disco house,"rgb(175, 145, 177)",102%,1354px,586px
chicago hardcore,"rgb(226, 77, 63)",102%,266px,8981px
russian emo rap,"rgb(165, 145, 14)",102%,863px,4821px
romanian house,"rgb(196, 134, 34)",102%,1025px,2045px
healing,"rgb(122, 48, 160)",102%,165px,16329px
russian punk,"rgb(194, 110, 21)",102%,536px,6598px
canadian soundtrack,"rgb(60, 157, 192)",102%,204px,16071px
surf punk,"rgb(206, 94, 87)",102%,307px,8032px
danspunk,"rgb(181, 115, 6)",102%,752px,7848px
chicago soul,"rgb(128, 129, 7)",102%,742px,14915px
christian metal,"rgb(210, 94, 39)",102%,290px,6811px
polish alternative,"rgb(141, 144, 32)",102%,701px,8721px
cancion infantil latinoamericana,"rgb(113, 149, 8)",102%,1036px,13540px
russian drill,"rgb(162, 150, 10)",102%,1077px,4706px
kazakh pop,"rgb(168, 142, 20)",102%,904px,5018px
harlem hip hop,"rgb(183, 115, 10)",102%,1048px,9900px
liverpool indie,"rgb(169, 128, 31)",102%,451px,8107px
riot grrrl,"rgb(197, 101, 46)",102%,418px,9389px
bitpop,"rgb(187, 129, 105)",102%,640px,3054px
classic arab pop,"rgb(127, 136, 21)",102%,597px,14775px
indonesian hip hop,"rgb(171, 133, 27)",102%,1031px,5483px
vapor pop,"rgb(150, 145, 39)",102%,640px,6451px
danish electronic,"rgb(189, 132, 116)",102%,1029px,1779px
digital hardcore,"rgb(212, 89, 108)",102%,428px,3673px
south african rock,"rgb(178, 125, 18)",102%,422px,5775px
dancehall queen,"rgb(177, 141, 3)",102%,1141px,8936px
merengue,"rgb(185, 123, 8)",102%,1059px,12626px
transpop,"rgb(154, 136, 33)",102%,737px,7456px
sludge metal,"rgb(196, 94, 130)",102%,170px,11399px
dub,"rgb(135, 145, 62)",102%,1258px,6118px
classify,"rgb(52, 174, 216)",102%,829px,17907px
turkish jazz,"rgb(101, 150, 89)",102%,634px,15101px
russian post-punk,"rgb(172, 123, 94)",102%,550px,7184px
indian edm,"rgb(189, 139, 108)",102%,932px,2411px
chill lounge,"rgb(142, 154, 167)",102%,900px,4552px
russian electronic,"rgb(161, 143, 160)",102%,930px,3530px
scottish new wave,"rgb(174, 118, 40)",102%,518px,7246px
pop violin,"rgb(121, 153, 110)",102%,303px,14064px
dixieland,"rgb(92, 128, 117)",102%,1008px,19199px
classic russian pop,"rgb(152, 131, 11)",102%,807px,8992px
brutal death metal,"rgb(235, 57, 134)",102%,154px,10195px
uk house,"rgb(197, 129, 141)",102%,1198px,1456px
deep turkish pop,"rgb(177, 130, 10)",102%,846px,5912px
muziek voor kinderen,"rgb(119, 144, 32)",102%,1059px,12490px
austrian pop,"rgb(153, 144, 35)",102%,763px,5974px
nordic house,"rgb(197, 129, 26)",102%,867px,2238px
rock mineiro,"rgb(184, 125, 15)",102%,555px,5551px
minimal tech house,"rgb(173, 145, 199)",102%,1372px,631px
freestyle,"rgb(181, 125, 35)",102%,993px,2238px
psychedelic trance,"rgb(217, 130, 192)",102%,1046px,990px
rocksteady,"rgb(131, 144, 40)",102%,1211px,8263px
kayokyoku,"rgb(133, 143, 10)",102%,592px,11994px
saskatchewan indie,"rgb(142, 140, 37)",102%,505px,11362px
umbanda,"rgb(134, 130, 8)",102%,969px,15051px
neo r&b,"rgb(135, 141, 57)",102%,920px,8424px
regional mexicano femenil,"rgb(135, 151, 2)",102%,914px,13280px
experimental,"rgb(124, 119, 95)",102%,525px,14257px
romantico,"rgb(62, 171, 192)",102%,981px,15383px
classic cantopop,"rgb(126, 145, 3)",102%,628px,11276px
texas metal,"rgb(224, 74, 73)",102%,247px,9834px
indonesian viral pop,"rgb(202, 143, 75)",102%,1223px,1779px
glitch hop,"rgb(174, 136, 120)",102%,896px,4018px
polish rock,"rgb(177, 121, 23)",102%,555px,8195px
gothenburg indie,"rgb(146, 139, 56)",102%,487px,10377px
a cappella,"rgb(120, 145, 7)",102%,608px,13467px
canadian americana,"rgb(113, 150, 20)",102%,610px,14345px
souldies,"rgb(140, 136, 44)",102%,811px,12016px
nz reggae,"rgb(154, 140, 50)",102%,1051px,4391px
narco rap,"rgb(152, 143, 1)",102%,1211px,6335px
sound team,"rgb(151, 129, 176)",102%,363px,6045px
focus beats,"rgb(92, 156, 180)",102%,1016px,12189px
chillstep,"rgb(150, 152, 144)",102%,518px,6096px
thai trap,"rgb(148, 151, 6)",102%,1079px,5887px
lesen,"rgb(67, 124, 0)",102%,1357px,16071px
antideutsche,"rgb(191, 117, 19)",102%,782px,6271px
chill breakcore,"rgb(193, 125, 161)",102%,534px,4547px
german alternative rock,"rgb(198, 112, 23)",102%,430px,4821px
alternative americana,"rgb(120, 147, 36)",102%,569px,13430px
icelandic rock,"rgb(151, 130, 32)",102%,597px,9861px
canadian ccm,"rgb(156, 136, 11)",102%,409px,6986px
boston indie,"rgb(155, 130, 47)",102%,438px,10856px
punk urbano,"rgb(219, 101, 9)",102%,397px,5223px
kermis,"rgb(143, 139, 51)",102%,587px,12203px
icelandic pop,"rgb(134, 141, 25)",102%,684px,10034px
hyphy,"rgb(172, 128, 3)",102%,1079px,8213px
new beat,"rgb(195, 117, 103)",102%,932px,1779px
horror punk,"rgb(213, 85, 26)",102%,300px,8292px
chinese r&b,"rgb(135, 146, 12)",102%,752px,8857px
classic disco polo,"rgb(196, 129, 17)",102%,940px,2310px
french techno,"rgb(189, 137, 200)",102%,1205px,746px
okinawan pop,"rgb(182, 126, 23)",102%,582px,5703px
mariachi cristiano,"rgb(124, 153, 30)",102%,763px,11772px
classic house,"rgb(195, 125, 125)",102%,1221px,759px
rave,"rgb(210, 115, 138)",102%,813px,1593px
bluegrass,"rgb(109, 150, 36)",102%,856px,15322px
swedish hard rock,"rgb(217, 93, 29)",102%,236px,6265px
classic israeli pop,"rgb(128, 142, 10)",102%,687px,13467px
quebec indie,"rgb(157, 132, 67)",102%,476px,9154px
post-rock,"rgb(128, 136, 179)",102%,238px,11709px
danish pop rock,"rgb(151, 137, 11)",102%,756px,7270px
portland hip hop,"rgb(158, 132, 25)",102%,1006px,10282px
rai,"rgb(191, 119, 7)",102%,826px,7787px
mexican pop punk,"rgb(207, 107, 15)",102%,348px,5489px
j-idol,"rgb(219, 112, 48)",102%,463px,2411px
musica triste brasileira,"rgb(119, 156, 16)",102%,898px,11548px
salsa peruana,"rgb(191, 141, 3)",102%,1038px,12428px
folk rock italiano,"rgb(133, 137, 10)",102%,717px,13764px
kazakh hip hop,"rgb(151, 145, 9)",102%,1076px,5900px
anthem emo,"rgb(208, 103, 12)",102%,284px,4620px
rap boricua,"rgb(168, 132, 22)",102%,1076px,11214px
french romanticism,"rgb(37, 157, 130)",102%,296px,21471px
celtic metal,"rgb(202, 105, 45)",102%,204px,7109px
australian alternative pop,"rgb(146, 143, 22)",102%,690px,7319px
melodic metal,"rgb(219, 94, 23)",102%,192px,4362px
experimental rock,"rgb(154, 107, 99)",102%,455px,12376px
norwegian hip hop,"rgb(171, 132, 16)",102%,1031px,7613px
dembow dominicano,"rgb(191, 135, 14)",102%,1260px,7313px
chilena,"rgb(172, 137, 20)",102%,1076px,12102px
soca,"rgb(186, 132, 10)",102%,1083px,5583px
future funk,"rgb(182, 123, 109)",102%,863px,2880px
indie jazz,"rgb(139, 139, 112)",102%,916px,8825px
neoclassical darkwave,"rgb(71, 161, 162)",102%,350px,16054px
nashville singer-songwriter,"rgb(126, 123, 34)",102%,516px,13826px
smooth saxophone,"rgb(122, 152, 116)",102%,791px,9923px
channel pop,"rgb(106, 159, 7)",102%,754px,12909px
viking metal,"rgb(220, 88, 83)",102%,163px,5934px
classic garage rock,"rgb(155, 119, 26)",102%,619px,12314px
kosovan pop,"rgb(172, 134, 7)",102%,946px,6321px
monterrey indie,"rgb(169, 130, 42)",102%,555px,5322px
guadalajara indie,"rgb(161, 136, 45)",102%,747px,6377px
pacific islands pop,"rgb(159, 139, 11)",102%,977px,5055px
dark techno,"rgb(200, 134, 211)",102%,1225px,287px
progressive groove metal,"rgb(223, 82, 69)",102%,243px,7702px
neue neue deutsche welle,"rgb(158, 143, 68)",102%,787px,4649px
idol,"rgb(152, 141, 8)",102%,574px,7714px
uk pop punk,"rgb(215, 102, 15)",102%,271px,3944px
early us punk,"rgb(206, 79, 34)",102%,395px,10798px
industrial hip hop,"rgb(193, 107, 63)",102%,737px,6296px
scottish indie,"rgb(164, 126, 57)",102%,391px,8304px
opera metal,"rgb(192, 112, 53)",102%,199px,7355px
afro soul,"rgb(167, 139, 29)",102%,1021px,4678px
magyar trap,"rgb(146, 152, 9)",102%,1046px,6120px
bergamo indie,"rgb(176, 126, 42)",102%,529px,7431px
bulgarian pop,"rgb(180, 134, 14)",102%,890px,4760px
piano blues,"rgb(102, 136, 46)",102%,914px,17920px
bc underground hip hop,"rgb(164, 135, 9)",102%,1038px,8574px
jazz boom bap,"rgb(141, 136, 141)",102%,1129px,4318px
reggae uruguayo,"rgb(179, 128, 8)",102%,730px,4276px
vintage italian soundtrack,"rgb(79, 154, 157)",102%,393px,16800px
cologne indie,"rgb(169, 130, 49)",102%,587px,6635px
drill chileno,"rgb(157, 150, 5)",102%,1094px,7019px
australian trap,"rgb(169, 136, 4)",102%,1042px,8086px
piseiro,"rgb(211, 143, 4)",102%,1225px,4850px
microhouse,"rgb(156, 145, 189)",102%,1132px,2156px
puerto rican rock,"rgb(180, 124, 13)",102%,802px,8230px
japanese vtuber,"rgb(196, 118, 52)",102%,592px,3616px
float house,"rgb(169, 141, 188)",102%,1163px,1734px
folktronica,"rgb(124, 145, 103)",102%,647px,11164px
taiwan hip hop,"rgb(171, 133, 8)",102%,996px,5354px
comedy rap,"rgb(154, 123, 12)",102%,1136px,7293px
technical death metal,"rgb(232, 60, 136)",102%,157px,10170px
chillsynth,"rgb(152, 157, 189)",102%,742px,4132px
calming instrumental,"rgb(27, 176, 219)",102%,727px,18809px
samba de roda,"rgb(111, 143, 10)",102%,861px,15681px
indie rock mexicano,"rgb(176, 131, 49)",102%,403px,5366px
j-indie,"rgb(175, 124, 43)",102%,529px,6885px
grungegaze,"rgb(184, 115, 123)",102%,145px,6413px
drone,"rgb(78, 140, 194)",102%,195px,16415px
urdu hip hop,"rgb(142, 150, 13)",102%,1143px,7307px
native american,"rgb(93, 145, 96)",102%,543px,15653px
classic danish pop,"rgb(138, 137, 11)",102%,777px,11423px
christian trap,"rgb(161, 142, 11)",102%,1002px,9263px
glee club,"rgb(141, 138, 28)",102%,582px,9130px
gothenburg metal,"rgb(221, 84, 87)",102%,195px,6327px
rock andaluz,"rgb(182, 122, 15)",102%,651px,10247px
korean city pop,"rgb(151, 143, 38)",102%,822px,6761px
folk metal,"rgb(213, 96, 68)",102%,194px,5909px
anthem worship,"rgb(153, 140, 11)",102%,296px,7343px
frenchcore,"rgb(238, 90, 75)",102%,572px,2870px
celtic punk,"rgb(209, 105, 15)",102%,346px,7495px
trap catala,"rgb(161, 148, 6)",102%,1076px,9225px
washington indie,"rgb(143, 130, 56)",102%,509px,12290px
slayer,"rgb(215, 97, 34)",102%,236px,4682px
children's folk,"rgb(98, 148, 10)",102%,1035px,13729px
japanese alternative pop,"rgb(154, 136, 42)",102%,643px,7960px
yugoslav rock,"rgb(169, 125, 12)",102%,602px,8882px
new orleans jazz,"rgb(90, 132, 114)",102%,1004px,19084px
chihuahua indie,"rgb(147, 137, 32)",102%,678px,9143px
uk melodic rap,"rgb(153, 148, 4)",102%,1059px,11177px
trap dominicano,"rgb(173, 142, 5)",102%,1143px,8275px
wave,"rgb(162, 150, 151)",102%,562px,4333px
north carolina roots,"rgb(114, 150, 26)",102%,724px,14764px
cdo indie,"rgb(143, 139, 94)",102%,831px,7614px
parody,"rgb(145, 119, 7)",102%,944px,12016px
latinx alternative,"rgb(172, 132, 22)",102%,856px,7182px
neue deutsche welle,"rgb(173, 116, 36)",102%,829px,6983px
midwest emo,"rgb(184, 117, 48)",102%,336px,9488px
german metalcore,"rgb(229, 83, 41)",102%,192px,4506px
musica gaucha tradicionalista,"rgb(168, 131, 9)",102%,1012px,13093px
italian romanticism,"rgb(46, 151, 56)",102%,342px,21794px
trap antillais,"rgb(157, 148, 8)",102%,1118px,8176px
post-minimalism,"rgb(49, 166, 186)",102%,422px,19945px
polish viral rap,"rgb(171, 135, 3)",102%,1099px,6271px
ukrainian phonk,"rgb(185, 145, 138)",102%,967px,2278px
nordic soundtrack,"rgb(65, 156, 192)",102%,269px,15296px
american shoegaze,"rgb(174, 115, 156)",102%,134px,8105px
latin metal,"rgb(214, 91, 32)",102%,303px,8919px
deep pop edm,"rgb(189, 137, 46)",102%,829px,2511px
central asian hip hop,"rgb(162, 142, 9)",102%,1063px,6571px
instrumental grime,"rgb(179, 136, 92)",102%,1063px,3427px
gospel r&b,"rgb(150, 134, 6)",102%,690px,9798px
anime phonk,"rgb(176, 148, 124)",102%,908px,3030px
turkish instrumental,"rgb(116, 153, 128)",102%,555px,14420px
mahraganat,"rgb(207, 124, 9)",102%,1103px,3915px
swedish soul,"rgb(148, 139, 17)",102%,856px,6660px
teen pop,"rgb(156, 142, 5)",102%,833px,6154px
buffalo hip hop,"rgb(153, 137, 15)",102%,948px,10231px
kiwi rock,"rgb(176, 121, 40)",102%,444px,7246px
contemporary jazz,"rgb(80, 152, 158)",102%,706px,17190px
dutch indie,"rgb(147, 136, 37)",102%,543px,10647px
fourth world,"rgb(77, 153, 179)",102%,379px,15899px
lo-fi house,"rgb(172, 136, 178)",102%,1136px,2698px
tecnobrega,"rgb(196, 135, 4)",102%,881px,6117px
northern irish indie,"rgb(169, 126, 44)",102%,416px,6861px
nederlandse hardstyle,"rgb(221, 119, 34)",102%,900px,2070px
bay area indie,"rgb(161, 127, 58)",102%,485px,11064px
texas blues,"rgb(100, 139, 38)",102%,1017px,17907px
rock catala,"rgb(145, 137, 18)",102%,695px,10867px
afrikaans,"rgb(142, 143, 9)",102%,668px,8746px
christian metalcore,"rgb(227, 83, 46)",102%,197px,6107px
auckland indie,"rgb(160, 131, 43)",102%,461px,8008px
idol rock,"rgb(228, 100, 34)",102%,356px,2769px
czsk emo rap,"rgb(151, 146, 5)",102%,977px,6710px
indonesian emo,"rgb(202, 107, 45)",102%,273px,6351px
spanish folk metal,"rgb(205, 106, 38)",102%,230px,7885px
instrumental post-rock,"rgb(127, 145, 198)",102%,228px,11213px
classic praise,"rgb(108, 147, 29)",102%,491px,12637px
balkan trap,"rgb(159, 150, 9)",102%,1042px,4826px
irish folk,"rgb(94, 150, 28)",102%,752px,16981px
belgian rock,"rgb(151, 134, 33)",102%,610px,8672px
tropical alternativo,"rgb(167, 143, 53)",102%,967px,4993px
turkce kadin rap,"rgb(153, 149, 19)",102%,1027px,5147px
musique pour enfants,"rgb(43, 164, 177)",102%,195px,17059px
cumbia paraguaya,"rgb(191, 134, 1)",102%,1090px,5533px
slc indie,"rgb(162, 129, 54)",102%,447px,8081px
canadian folk,"rgb(113, 151, 19)",102%,664px,13627px
belly dance,"rgb(172, 124, 89)",102%,940px,7861px
ann arbor indie,"rgb(140, 139, 32)",102%,548px,11137px
hungarian hip hop,"rgb(186, 123, 9)",102%,1085px,10356px
japanese trap,"rgb(176, 143, 10)",102%,983px,4448px
bergen indie,"rgb(160, 133, 48)",102%,553px,7762px
french tech house,"rgb(194, 135, 184)",102%,1387px,254px
czech drill,"rgb(160, 146, 3)",102%,1099px,6233px
ska revival,"rgb(170, 126, 38)",102%,1004px,10011px
chiptune,"rgb(160, 135, 169)",102%,608px,4821px
oyun havasi,"rgb(175, 127, 11)",102%,966px,10966px
jangle pop,"rgb(168, 121, 26)",102%,461px,10072px
