genre,font_size,color,colors_rgb,top,left
pinoy city pop,101%,#849125,"rgb(132, 145, 37)",9029px,791px
metallic hardcore,101%,#e55041,"rgb(229, 80, 65)",9215px,271px
belo horizonte indie,101%,#84911a,"rgb(132, 145, 26)",10880px,735px
latin viral rap,101%,#c2800a,"rgb(194, 128, 10)",10430px,1021px
piano worship,101%,#2cb1da,"rgb(44, 177, 218)",17805px,759px
pinoy pop punk,101%,#cc6b0b,"rgb(204, 107, 11)",6672px,354px
folclore salteno,101%,#758f0e,"rgb(117, 143, 14)",15841px,977px
flamenco fusion,101%,#b87c0a,"rgb(184, 124, 10)",9376px,964px
vietnamese trap,101%,#9c9612,"rgb(156, 150, 18)",6460px,1081px
brisbane indie,101%,#b17c23,"rgb(177, 124, 35)",7380px,371px
brega funk,101%,#be8904,"rgb(190, 137, 4)",4391px,1277px
west coast reggae,101%,#a08b0d,"rgb(160, 139, 13)",7207px,932px
zxc,101%,#9f9315,"rgb(159, 147, 21)",4764px,805px
nuevo folklore mexicano,101%,#79950d,"rgb(121, 149, 13)",13109px,802px
volksmusik,101%,#a88609,"rgb(168, 134, 9)",8120px,631px
classical drill,101%,#2999b6,"rgb(41, 153, 182)",20739px,365px
russian metal,101%,#d06930,"rgb(208, 105, 48)",6070px,251px
plug brasileiro,101%,#869d06,"rgb(134, 157, 6)",5734px,1063px
brit funk,101%,#b47836,"rgb(180, 120, 54)",4702px,948px
reggae cristao,101%,#9e8d09,"rgb(158, 141, 9)",7282px,875px
musica tamaulipeca,101%,#a09206,"rgb(160, 146, 6)",12564px,971px
mizrahi,101%,#a78704,"rgb(167, 135, 4)",8267px,613px
greek underground rap,101%,#ac8310,"rgb(172, 131, 16)",10169px,1006px
musica sinaloense,101%,#a38a00,"rgb(163, 138, 0)",13155px,1063px
hard bass,101%,#e6695e,"rgb(230, 105, 94)",1481px,1057px
victoria bc indie,101%,#96872b,"rgb(150, 135, 43)",10170px,516px
venezuelan rock,101%,#a87f1b,"rgb(168, 127, 27)",8837px,807px
progressive deathcore,101%,#e84862,"rgb(232, 72, 98)",5562px,197px
neo classical metal,101%,#cb6536,"rgb(203, 101, 54)",7184px,228px
partido alto,101%,#a97b02,"rgb(169, 123, 2)",12794px,912px
new jersey punk,101%,#d75520,"rgb(215, 85, 32)",9948px,300px
atmosphere,101%,#329dc8,"rgb(50, 157, 200)",18654px,36px
gregorian dance,101%,#929062,"rgb(146, 144, 98)",6437px,457px
kawaii future bass,101%,#cc7c52,"rgb(204, 124, 82)",2741px,701px
darksynth,101%,#c487ad,"rgb(196, 135, 173)",2497px,453px
musica costena,101%,#ab8b06,"rgb(171, 139, 6)",10207px,1114px
nightrun,101%,#ca7933,"rgb(202, 121, 51)",2712px,352px
indonesian post-hardcore,101%,#d05f27,"rgb(208, 95, 39)",5477px,298px
russian grime,101%,#b7870d,"rgb(183, 135, 13)",8636px,1004px
chinese indie,101%,#84901a,"rgb(132, 144, 26)",10573px,541px
louisiana blues,101%,#7e7f29,"rgb(126, 127, 41)",15927px,908px
birmingham grime,101%,#b48417,"rgb(180, 132, 23)",10955px,1066px
carnaval cadiz,101%,#af6e08,"rgb(175, 110, 8)",12116px,842px
finnish trap,101%,#9b9608,"rgb(155, 150, 8)",4055px,1074px
chilean indie,101%,#9a8a31,"rgb(154, 138, 49)",8280px,651px
musica angolana,101%,#b28a0d,"rgb(178, 138, 13)",7170px,1000px
american folk revival,101%,#479613,"rgb(71, 150, 19)",19055px,867px
french jazz,101%,#589093,"rgb(88, 144, 147)",18407px,973px
classic norwegian pop,101%,#739409,"rgb(115, 148, 9)",13545px,681px
samba paulista,101%,#968605,"rgb(150, 134, 5)",12663px,871px
xtra raw,101%,#ed5913,"rgb(237, 89, 19)",2999px,509px
nova musica pernambucana,101%,#958b22,"rgb(149, 139, 34)",10070px,793px
marathi pop,101%,#9f8205,"rgb(159, 130, 5)",10552px,879px
guaracha,101%,#b5888a,"rgb(181, 136, 138)",1248px,1313px
fado,101%,#589e13,"rgb(88, 158, 19)",17604px,727px
vietnamese singer-songwriter,101%,#779a0e,"rgb(119, 154, 14)",12290px,695px
battle rap,101%,#b67504,"rgb(182, 117, 4)",10775px,995px
romanian rap,101%,#a78617,"rgb(167, 134, 23)",9213px,1081px
rap underground argentino,101%,#9e870e,"rgb(158, 135, 14)",12275px,1074px
cowboy western,101%,#5b8f0f,"rgb(91, 143, 15)",16932px,861px
doom metal,101%,#b47260,"rgb(180, 114, 96)",10830px,154px
psicodelia brasileira,101%,#998036,"rgb(153, 128, 54)",12725px,719px
emo mexicano,101%,#c7701f,"rgb(199, 112, 31)",6020px,342px
rock baiano,101%,#a7790f,"rgb(167, 121, 15)",10527px,756px
swedish melodic rock,101%,#cb6c0e,"rgb(203, 108, 14)",4682px,313px
classic turkish pop,101%,#7f8b0e,"rgb(127, 139, 14)",15150px,579px
chalga,101%,#c18410,"rgb(193, 132, 16)",3657px,944px
tagalog worship,101%,#5a9d26,"rgb(90, 157, 38)",14751px,416px
assamese pop,101%,#9c8c08,"rgb(156, 140, 8)",11944px,752px
old school bassline,101%,#c87c58,"rgb(200, 124, 88)",2217px,1165px
swancore,101%,#dd5e2f,"rgb(221, 94, 47)",6045px,273px
anime cv,101%,#bd773e,"rgb(189, 119, 62)",4793px,470px
colombian indie,101%,#988f30,"rgb(152, 143, 48)",6908px,789px
dark plugg,101%,#88a10b,"rgb(136, 161, 11)",7601px,922px
rap nacional antigo,101%,#a28216,"rgb(162, 130, 22)",6634px,1145px
pink noise,101%,#ae7f16,"rgb(174, 127, 22)",3214px,791px
alternative roots rock,101%,#a67d1a,"rgb(166, 125, 26)",11201px,442px
oktoberfest,101%,#d16910,"rgb(209, 105, 16)",4247px,766px
russian punk rock,101%,#cb6514,"rgb(203, 101, 20)",5576px,522px
synthesizer,101%,#6e949c,"rgb(110, 148, 156)",11510px,389px
norwegian rock,101%,#b57121,"rgb(181, 113, 33)",9501px,367px
laboratorio,101%,#4a9086,"rgb(74, 144, 134)",17965px,434px
dutch metal,101%,#cb623a,"rgb(203, 98, 58)",8377px,190px
peruvian hip hop,101%,#ae8604,"rgb(174, 134, 4)",10219px,1125px
punk rock mexicano,101%,#ca6a14,"rgb(202, 106, 20)",7653px,393px
alabama indie,101%,#a17d31,"rgb(161, 125, 49)",11583px,459px
japanese new wave,101%,#b6752a,"rgb(182, 117, 42)",5716px,582px
sacramento hip hop,101%,#a88103,"rgb(168, 129, 3)",8813px,1118px
dark wave,101%,#b1785a,"rgb(177, 120, 90)",4461px,436px
lagu timur,101%,#8e9809,"rgb(142, 152, 9)",7442px,871px
mambo,101%,#8b8045,"rgb(139, 128, 69)",16099px,1008px
no beat,101%,#b58d19,"rgb(181, 141, 25)",4075px,1379px
classic colombian pop,101%,#86950d,"rgb(134, 149, 13)",13564px,1116px
flint hip hop,101%,#a28e04,"rgb(162, 142, 4)",7589px,1059px
ukrainian indie,101%,#8e8f38,"rgb(142, 143, 56)",8012px,698px
swedish americana,101%,#75961b,"rgb(117, 150, 27)",13949px,480px
rap baixada fluminense,101%,#908d15,"rgb(144, 141, 21)",11918px,1002px
trap pesado,101%,#899a07,"rgb(137, 154, 7)",4747px,1168px
uk tech house,101%,#d180ba,"rgb(209, 128, 186)",143px,1401px
brega romantico,101%,#b58d01,"rgb(181, 141, 1)",7430px,881px
crossover thrash,101%,#e83d3a,"rgb(232, 61, 58)",10756px,239px
barnemusikk,101%,#639617,"rgb(99, 150, 23)",13631px,924px
country blues,101%,#4c9226,"rgb(76, 146, 38)",19830px,1094px
french opera,101%,#2c995b,"rgb(44, 153, 91)",21112px,361px
finnish heavy metal,101%,#d8632a,"rgb(216, 99, 42)",4633px,232px
big band,101%,#5a7f6d,"rgb(90, 127, 109)",19256px,942px
electroclash,101%,#bc825c,"rgb(188, 130, 92)",1947px,950px
reggae cover,101%,#96922c,"rgb(150, 146, 44)",4550px,1004px
trance brasileiro,101%,#cd829f,"rgb(205, 130, 159)",1493px,1154px
western swing,101%,#5b9110,"rgb(91, 145, 16)",16944px,920px
glitch,101%,#7f829d,"rgb(127, 130, 157)",10319px,651px
lithuanian pop,101%,#a38810,"rgb(163, 136, 16)",5330px,837px
kawaii metal,101%,#e55723,"rgb(229, 87, 35)",3989px,212px
shaabi,101%,#b07b05,"rgb(176, 123, 5)",7898px,848px
world devotional,101%,#4da646,"rgb(77, 166, 70)",15210px,453px
italian pop rock,101%,#a7880b,"rgb(167, 136, 11)",6463px,589px
korean old school hip hop,101%,#b87625,"rgb(184, 118, 37)",5418px,1077px
asbury park indie,101%,#a07d20,"rgb(160, 125, 32)",10046px,513px
pub rock,101%,#b56d1d,"rgb(181, 109, 29)",9586px,562px
electrofox,101%,#b68662,"rgb(182, 134, 98)",2180px,879px
balochi pop,101%,#b57b15,"rgb(181, 123, 21)",10942px,896px
shanty,101%,#668c0e,"rgb(102, 140, 14)",16153px,869px
argentine punk,101%,#d66017,"rgb(214, 96, 23)",8267px,344px
orgcore,101%,#df5419,"rgb(223, 84, 25)",8229px,286px
samba reggae,101%,#bd7406,"rgb(189, 116, 6)",7824px,912px
japanese metalcore,101%,#e84e27,"rgb(232, 78, 39)",4706px,206px
ambient guitar,101%,#4a9ecd,"rgb(74, 158, 205)",15538px,177px
virginia metal,101%,#e1485c,"rgb(225, 72, 92)",9267px,210px
indonesian idol pop,101%,#be7a08,"rgb(190, 122, 8)",2755px,562px
australian singer-songwriter,101%,#70981b,"rgb(112, 152, 27)",13875px,557px
narodna muzika,101%,#a68007,"rgb(166, 128, 7)",11466px,582px
oklahoma country,101%,#a08603,"rgb(160, 134, 3)",8820px,472px
moldovan pop,101%,#c7811f,"rgb(199, 129, 31)",3759px,747px
classic belgian pop,101%,#9d8708,"rgb(157, 135, 8)",8561px,722px
french metal,101%,#d55957,"rgb(213, 89, 87)",7245px,214px
gregorian chant,101%,#2aa25a,"rgb(42, 162, 90)",20314px,379px
abstract beats,101%,#96827e,"rgb(150, 130, 126)",7774px,924px
glam punk,101%,#d75319,"rgb(215, 83, 25)",8254px,275px
musica neoleonesa,101%,#938f03,"rgb(147, 143, 3)",11820px,1105px
minneapolis indie,101%,#76914d,"rgb(118, 145, 77)",12575px,465px
chinese hip hop,101%,#ab880d,"rgb(171, 136, 13)",6854px,1010px
progressive post-hardcore,101%,#c76e22,"rgb(199, 110, 34)",6462px,282px
deutschrock,101%,#df5e0b,"rgb(223, 94, 11)",5587px,350px
musica andina,101%,#779437,"rgb(119, 148, 55)",15027px,926px
roots americana,101%,#8f8d09,"rgb(143, 141, 9)",10843px,605px
groove gospel,101%,#918d21,"rgb(145, 141, 33)",9624px,560px
turkish soundtrack,101%,#5d9da8,"rgb(93, 157, 168)",13236px,438px
speed up brasileiro,101%,#919702,"rgb(145, 151, 2)",6659px,1136px
brazilian bass,101%,#bd8079,"rgb(189, 128, 121)",1235px,1263px
nottingham indie,101%,#978639,"rgb(151, 134, 57)",10785px,457px
vbs,101%,#719823,"rgb(113, 152, 35)",9512px,818px
blackened deathcore,101%,#e14574,"rgb(225, 69, 116)",6709px,131px
pop minang,101%,#b49209,"rgb(180, 146, 9)",5100px,538px
classic j-rock,101%,#b7721b,"rgb(183, 114, 27)",6948px,532px
melodic hardcore,101%,#e64e15,"rgb(230, 78, 21)",8707px,251px
slamming deathcore,101%,#ea4575,"rgb(234, 69, 117)",6425px,172px
steampunk,101%,#9c7d2e,"rgb(156, 125, 46)",8623px,600px
ukg revival,101%,#c67b76,"rgb(198, 123, 118)",2124px,1272px
experimental ambient,101%,#5398c0,"rgb(83, 152, 192)",15394px,298px
argentine heavy metal,101%,#d46220,"rgb(212, 98, 32)",8390px,290px
indie liguria,101%,#b28467,"rgb(178, 132, 103)",4735px,811px
sinhala pop,101%,#8a9608,"rgb(138, 150, 8)",10564px,818px
progressive jazz fusion,101%,#7e8d99,"rgb(126, 141, 153)",12377px,671px
swedish garage rock,101%,#d55c1e,"rgb(213, 92, 30)",8537px,279px
irish country,101%,#719607,"rgb(113, 150, 7)",13887px,538px
cantautora argentina,101%,#6f9a0d,"rgb(111, 154, 13)",13558px,826px
braindance,101%,#ac87bd,"rgb(172, 135, 189)",3444px,960px
ebm,101%,#cb7163,"rgb(203, 113, 99)",1779px,674px
swedish reggae,101%,#a88b0f,"rgb(168, 139, 15)",6584px,1088px
uzbek pop,101%,#bd8203,"rgb(189, 130, 3)",5658px,883px
lds youth,101%,#739a12,"rgb(115, 154, 18)",12389px,569px
norwegian country,101%,#a18806,"rgb(161, 136, 6)",8845px,640px
murcia indie,101%,#ad8420,"rgb(173, 132, 32)",6635px,496px
russian rave,101%,#d07826,"rgb(208, 120, 38)",2726px,912px
tolkien metal,101%,#cf5666,"rgb(207, 86, 102)",7933px,141px
wyoming roots,101%,#869108,"rgb(134, 145, 8)",11113px,634px
hip-hop experimental,101%,#9f835a,"rgb(159, 131, 90)",5672px,971px
dark post-punk,101%,#c17d88,"rgb(193, 125, 136)",2439px,403px
indie catala,101%,#898e2c,"rgb(137, 142, 44)",10904px,622px
italian tenor,101%,#459d1e,"rgb(69, 157, 30)",21149px,336px
ghanaian alternative,101%,#9f8f15,"rgb(159, 143, 21)",10588px,1066px
ecm-style jazz,101%,#3f999d,"rgb(63, 153, 157)",18625px,597px
san marcos tx indie,101%,#a17e20,"rgb(161, 126, 32)",10158px,541px
portuguese rock,101%,#93882c,"rgb(147, 136, 44)",10488px,600px
modern melodic hardcore,101%,#e6501e,"rgb(230, 80, 30)",7764px,227px
lithuanian edm,101%,#ba8f4e,"rgb(186, 143, 78)",2168px,1079px
zouk,101%,#bb8e14,"rgb(187, 142, 20)",2784px,1004px
cello,101%,#679680,"rgb(103, 150, 128)",13746px,357px
classical tenor,101%,#4b9610,"rgb(75, 150, 16)",21357px,266px
musica poblana,101%,#9e960f,"rgb(158, 150, 15)",4018px,1145px
chill beats,101%,#85a2b9,"rgb(133, 162, 185)",4087px,981px
indie rockism,101%,#b88008,"rgb(184, 128, 8)",4519px,472px
acoustic punk,101%,#8f8607,"rgb(143, 134, 7)",12352px,722px
nashville indie,101%,#9d8423,"rgb(157, 132, 35)",9711px,459px
classic polish pop,101%,#718d07,"rgb(113, 141, 7)",15064px,739px
dong-yo,101%,#8c9419,"rgb(140, 148, 25)",10333px,1036px
tex-mex,101%,#a99007,"rgb(169, 144, 7)",9212px,1023px
lagu melayu,101%,#a09a09,"rgb(160, 154, 9)",6229px,489px
latintronica,101%,#9a9167,"rgb(154, 145, 103)",4342px,1038px
ukrainian hip hop,101%,#a68709,"rgb(166, 135, 9)",8985px,1061px
rap anime,101%,#bf8002,"rgb(191, 128, 2)",9662px,1000px
dansktop,101%,#878a0a,"rgb(135, 138, 10)",11981px,771px
austin americana,101%,#848f0c,"rgb(132, 143, 12)",11969px,671px
arab alternative,101%,#84942b,"rgb(132, 148, 43)",10145px,739px
musica potosina,101%,#b48808,"rgb(180, 136, 8)",12453px,1083px
j-ambient,101%,#5597b1,"rgb(85, 151, 177)",15698px,432px
acoustic chill,101%,#48a710,"rgb(72, 167, 16)",15956px,793px
brega,101%,#9b8d05,"rgb(155, 141, 5)",9625px,818px
polish indie,101%,#948d35,"rgb(148, 141, 53)",7307px,622px
lithuanian electronic,101%,#a391ae,"rgb(163, 145, 174)",2032px,1127px
dominican pop,101%,#a58b05,"rgb(165, 139, 5)",8775px,973px
flute rock,101%,#888447,"rgb(136, 132, 71)",12736px,422px
russian folk rock,101%,#968710,"rgb(150, 135, 16)",10769px,582px
relaxative,101%,#2dabcb,"rgb(45, 171, 203)",16157px,791px
italian techno,101%,#c08cd4,"rgb(192, 140, 212)",455px,1263px
cumbia lagunera,101%,#b48b09,"rgb(180, 139, 9)",7750px,1129px
brazilian emo,101%,#c37021,"rgb(195, 112, 33)",7860px,367px
popping,101%,#a77a33,"rgb(167, 122, 51)",4030px,1145px
deep talent show,101%,#949008,"rgb(148, 144, 8)",9389px,545px
thai folk rock,101%,#9c8c06,"rgb(156, 140, 6)",7245px,687px
mantra,101%,#78910c,"rgb(120, 145, 12)",14487px,846px
japanese post-hardcore,101%,#d85a36,"rgb(216, 90, 54)",6911px,210px
swedish jazz,101%,#509a5f,"rgb(80, 154, 95)",17485px,724px
albuquerque indie,101%,#93852e,"rgb(147, 133, 46)",9366px,619px
cancion infantil mexicana,101%,#978408,"rgb(151, 132, 8)",12152px,1014px
ambient house,101%,#928db6,"rgb(146, 141, 182)",5194px,805px
grime brasileiro,101%,#9f8b16,"rgb(159, 139, 22)",9912px,1066px
islamic recitation,101%,#3ba702,"rgb(59, 167, 2)",20949px,809px
shred,101%,#be6b91,"rgb(190, 107, 145)",7134px,326px
semarang indie,101%,#b08214,"rgb(176, 130, 20)",6033px,511px
psychobilly,101%,#db5324,"rgb(219, 83, 36)",8944px,430px
singaporean singer-songwriter,101%,#739a0b,"rgb(115, 154, 11)",13102px,582px
rap feminino nacional,101%,#9d8f04,"rgb(157, 143, 4)",9937px,1072px
post-metal,101%,#ae69a2,"rgb(174, 105, 162)",10512px,136px
southern metal,101%,#dc5c2a,"rgb(220, 92, 42)",7478px,273px
south african gospel,101%,#a08205,"rgb(160, 130, 5)",12067px,502px
jungle,101%,#da7b8e,"rgb(218, 123, 142)",1646px,1027px
post-screamo,101%,#df6214,"rgb(223, 98, 20)",3099px,243px
malaysian indie,101%,#b17b2b,"rgb(177, 123, 43)",7344px,465px
manila sound,101%,#779215,"rgb(119, 146, 21)",13789px,582px
carnatic,101%,#7f892f,"rgb(127, 137, 47)",18694px,775px
south african pop dance,101%,#aa8c30,"rgb(170, 140, 48)",2993px,1000px
english baroque,101%,#28a15b,"rgb(40, 161, 91)",20351px,403px
perth indie,101%,#a08423,"rgb(160, 132, 35)",9080px,483px
jewish pop,101%,#a6850b,"rgb(166, 133, 11)",9221px,582px
israeli singer-songwriter,101%,#7b940a,"rgb(123, 148, 10)",13285px,664px
nederreggae,101%,#a2880c,"rgb(162, 136, 12)",7923px,1053px
himachali pop,101%,#bb7604,"rgb(187, 118, 4)",8255px,835px
rock alternativo espanol,101%,#c5711c,"rgb(197, 113, 28)",5897px,348px
norwegian metal,101%,#d24e68,"rgb(210, 78, 104)",8943px,109px
klubowe,101%,#cc824c,"rgb(204, 130, 76)",1607px,1070px
rap antillais,101%,#a99007,"rgb(169, 144, 7)",10145px,1042px
hardcore,101%,#e64c27,"rgb(230, 76, 39)",10488px,322px
italian reggae,101%,#b7850f,"rgb(183, 133, 15)",4330px,1076px
classic malaysian pop,101%,#938b0a,"rgb(147, 139, 10)",9550px,579px
turkce trap metal,101%,#a98819,"rgb(169, 136, 25)",4678px,846px
latin soundtrack,101%,#449dac,"rgb(68, 157, 172)",16358px,301px
kolsche karneval,101%,#bb7404,"rgb(187, 116, 4)",6603px,756px
brain waves,101%,#266ed4,"rgb(38, 110, 212)",17534px,165px
canadian classical,101%,#219f93,"rgb(33, 159, 147)",20777px,260px
shonen,101%,#aa7776,"rgb(170, 119, 118)",5699px,324px
bhangra,101%,#c37914,"rgb(195, 121, 20)",5969px,991px
mathcore,101%,#dd4563,"rgb(221, 69, 99)",10402px,181px
chamber psych,101%,#8d8d58,"rgb(141, 141, 88)",9525px,505px
classic persian pop,101%,#71932c,"rgb(113, 147, 44)",15411px,605px
southern americana,101%,#878d0d,"rgb(135, 141, 13)",12128px,536px
strut,101%,#b77d1f,"rgb(183, 125, 31)",3042px,981px
hurdy-gurdy,101%,#aa7936,"rgb(170, 121, 54)",9203px,354px
emo trap en espanol,101%,#9f960c,"rgb(159, 150, 12)",5987px,784px
classic thai pop,101%,#869209,"rgb(134, 146, 9)",8048px,749px
dutch tech house,101%,#c288b5,"rgb(194, 136, 181)",574px,1345px
polish reggae,101%,#bb7c12,"rgb(187, 124, 18)",5280px,854px
josei rap,101%,#b1880c,"rgb(177, 136, 12)",4864px,1010px
czech folk,101%,#828b09,"rgb(130, 139, 9)",14408px,717px
oldschool deutschrap,101%,#b07812,"rgb(176, 120, 18)",9052px,1066px
jamgrass,101%,#908a3f,"rgb(144, 138, 63)",13521px,782px
deep comedy,101%,#a04a02,"rgb(160, 74, 2)",19228px,1061px
japanese instrumental,101%,#43b0ca,"rgb(67, 176, 202)",15411px,875px
czech pop rock,101%,#b47f0a,"rgb(180, 127, 10)",5080px,600px
rap cristao,101%,#a78605,"rgb(167, 134, 5)",8948px,1046px
musica coahuilense,101%,#b38d06,"rgb(179, 141, 6)",8586px,1107px
nepali pop,101%,#a28e04,"rgb(162, 142, 4)",9910px,714px
japanese pop rap,101%,#ab8f09,"rgb(171, 143, 9)",6069px,971px
brazilian metal,101%,#e04d39,"rgb(224, 77, 57)",8719px,245px
icelandic singer-songwriter,101%,#719217,"rgb(113, 146, 23)",13590px,595px
gabber,101%,#e35b5b,"rgb(227, 91, 91)",2152px,628px
instrumental soul,101%,#86878f,"rgb(134, 135, 143)",13565px,989px
techno kayo,101%,#9d861f,"rgb(157, 134, 31)",7051px,773px
popwave,101%,#a99154,"rgb(169, 145, 84)",2712px,560px
uk post-punk revival,101%,#c47046,"rgb(196, 112, 70)",6328px,436px
indian fusion,101%,#9b8237,"rgb(155, 130, 55)",12080px,756px
lds,101%,#449c4a,"rgb(68, 156, 74)",17678px,409px
5th wave emo,101%,#ae762a,"rgb(174, 118, 42)",9055px,330px
brazilian soul,101%,#9c8213,"rgb(156, 130, 19)",9999px,892px
german viral rap,101%,#8b8f0c,"rgb(139, 143, 12)",8862px,1166px
circuit,101%,#dc7789,"rgb(220, 119, 137)",789px,1159px
minimal melodic techno,101%,#a29dcd,"rgb(162, 157, 205)",1481px,1163px
delta blues,101%,#588b24,"rgb(88, 139, 36)",19670px,1101px
techno,101%,#b989c8,"rgb(185, 137, 200)",1076px,1181px
cologne hip hop,101%,#ac880c,"rgb(172, 136, 12)",9188px,1072px
classic finnish pop,101%,#7a8f06,"rgb(122, 143, 6)",14110px,717px
groove room,101%,#b08f7a,"rgb(176, 143, 122)",1053px,1258px
canadian children's music,101%,#6a8e06,"rgb(106, 142, 6)",13657px,1063px
sertanejo gospel,101%,#9e9222,"rgb(158, 146, 34)",7663px,737px
lds instrumental,101%,#2baa87,"rgb(43, 170, 135)",20289px,315px
contemporary classical,101%,#1e9c8c,"rgb(30, 156, 140)",21173px,332px
finnish alternative rock,101%,#c4721b,"rgb(196, 114, 27)",5075px,342px
britpop revival,101%,#c3770e,"rgb(195, 119, 14)",4977px,269px
norwegian trap,101%,#8f9906,"rgb(143, 153, 6)",7417px,1090px
high-tech minimal,101%,#af91c8,"rgb(175, 145, 200)",799px,1352px
early avant garde,101%,#0eaad1,"rgb(14, 170, 209)",21265px,768px
rap lyonnais,101%,#959208,"rgb(149, 146, 8)",8226px,1121px
melodic deathcore,101%,#ea464c,"rgb(234, 70, 76)",5452px,186px
belarusian indie,101%,#b07d22,"rgb(176, 125, 34)",6439px,584px
kindie rock,101%,#808e0c,"rgb(128, 142, 12)",11807px,991px
german ska,101%,#ca720f,"rgb(202, 114, 15)",6080px,735px
classic greek pop,101%,#789115,"rgb(120, 145, 21)",15113px,737px
rap siciliano,101%,#b18809,"rgb(177, 136, 9)",8437px,966px
japanese indie pop,101%,#978a40,"rgb(151, 138, 64)",8775px,640px
indiana hip hop,101%,#9f8d06,"rgb(159, 141, 6)",7737px,1012px
leicester indie,101%,#aa7d26,"rgb(170, 125, 38)",7283px,451px
indonesian punk,101%,#db5e1e,"rgb(219, 94, 30)",5415px,309px
dabke,101%,#9f7d0b,"rgb(159, 125, 11)",11598px,727px
seiyu,101%,#d17419,"rgb(209, 116, 25)",3329px,455px
trap beats,101%,#7aa5bd,"rgb(122, 165, 189)",2396px,1202px
eurobeat,101%,#d7762c,"rgb(215, 118, 44)",1851px,579px
deep chill,101%,#8c9aab,"rgb(140, 154, 171)",4191px,946px
polish alternative rock,101%,#b5791e,"rgb(181, 121, 30)",6610px,478px
belarusian hip hop,101%,#ab8709,"rgb(171, 135, 9)",8648px,987px
chinese melodic rap,101%,#9b9613,"rgb(155, 150, 19)",5994px,950px
australian talent show,101%,#a58606,"rgb(165, 134, 6)",7762px,674px
rap sardegna,101%,#ac8109,"rgb(172, 129, 9)",7466px,1094px
ethnotronica,101%,#a09dc5,"rgb(160, 157, 197)",1457px,1284px
talentschau,101%,#858e06,"rgb(133, 142, 6)",10083px,722px
brazilian indie,101%,#a0852a,"rgb(160, 133, 42)",8931px,829px
turk sanat muzigi,101%,#72941d,"rgb(114, 148, 29)",17793px,389px
australian underground hip hop,101%,#b37d0d,"rgb(179, 125, 13)",9712px,1019px
latin funk,101%,#ad7c28,"rgb(173, 124, 40)",7405px,985px
australian post-hardcore,101%,#e6551e,"rgb(230, 85, 30)",3673px,194px
math rock,101%,#ae727b,"rgb(174, 114, 123)",11534px,478px
finnish melodeath,101%,#e05c57,"rgb(224, 92, 87)",4620px,134px
harmonica blues,101%,#817c1e,"rgb(129, 124, 30)",16214px,946px
honky tonk,101%,#5b9105,"rgb(91, 145, 5)",16645px,858px
san diego rap,101%,#a58303,"rgb(165, 131, 3)",8365px,1098px
microtonal,101%,#718c61,"rgb(113, 140, 97)",16042px,430px
south african alternative,101%,#978c42,"rgb(151, 140, 66)",6809px,811px
ballet class,101%,#33acce,"rgb(51, 172, 206)",18281px,1008px
cumbia andina mexicana,101%,#9f950e,"rgb(159, 149, 14)",11041px,1014px
cumbia colombiana regia,101%,#9f9209,"rgb(159, 146, 9)",9175px,1125px
slovak rock,101%,#b5791d,"rgb(181, 121, 29)",6426px,643px
boston punk,101%,#e55116,"rgb(229, 81, 22)",9822px,277px
surf music,101%,#aa758e,"rgb(170, 117, 142)",12562px,789px
witch house,101%,#ad8b9d,"rgb(173, 139, 157)",4834px,387px
swedish dancehall,101%,#ab8d09,"rgb(171, 141, 9)",5304px,1110px
skansk musik,101%,#aa7e0a,"rgb(170, 126, 10)",8255px,722px
british power metal,101%,#e3591b,"rgb(227, 89, 27)",4657px,195px
russian ska,101%,#c56b1a,"rgb(197, 107, 26)",6577px,637px
hyperpop en espanol,101%,#9f9512,"rgb(159, 149, 18)",5395px,829px
j-reggae,101%,#bf830e,"rgb(191, 131, 14)",5067px,998px
california hardcore,101%,#e04737,"rgb(224, 71, 55)",11040px,279px
piratenmuziek,101%,#9a860a,"rgb(154, 134, 10)",9258px,749px
disco polo,101%,#d27d0c,"rgb(210, 125, 12)",1223px,1123px
finnish edm,101%,#cc838c,"rgb(204, 131, 140)",1620px,791px
papuri,101%,#79950f,"rgb(121, 149, 15)",12043px,465px
smutny rap,101%,#929704,"rgb(146, 151, 4)",6958px,944px
symphonic black metal,101%,#d74c75,"rgb(215, 76, 117)",8353px,102px
tololoche,101%,#a48b01,"rgb(164, 139, 1)",13317px,1066px
russian underground rap,101%,#ad8007,"rgb(173, 128, 7)",12539px,985px
roda de samba,101%,#9d8802,"rgb(157, 136, 2)",12512px,865px
slovak pop,101%,#9b8712,"rgb(155, 135, 18)",9221px,668px
christian lo-fi,101%,#50a3b0,"rgb(80, 163, 176)",12782px,920px
chinese idol pop,101%,#a78a18,"rgb(167, 138, 24)",5080px,747px
hawaiian,101%,#5e9d15,"rgb(94, 157, 21)",15583px,577px
chilean hardcore,101%,#ce6718,"rgb(206, 103, 24)",5347px,564px
atlanta metal,101%,#e44f43,"rgb(228, 79, 67)",6008px,203px
new orleans blues,101%,#7b802b,"rgb(123, 128, 43)",16194px,906px
bangla pop,101%,#859506,"rgb(133, 149, 6)",11472px,752px
brazilian boogie,101%,#9c843a,"rgb(156, 132, 58)",10917px,904px
indie extremena,101%,#bf770d,"rgb(191, 119, 13)",6242px,520px
trap peruano,101%,#9c9106,"rgb(156, 145, 6)",8673px,1116px
polish punk,101%,#d2621a,"rgb(210, 98, 26)",7270px,434px
